gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
KRT6B	-2.0653504769894697	5.865239227815488	-9.434214182847105	4.005388849433338e-4	0.9997997501473126	-4.2309446655333325
FOSB	2.4223393888210647	3.865070718309009	8.637170204936318	5.846361121697081e-4	0.9997997501473126	-4.399248019684496
KLK4	4.266358650945638	0.7488431891021	8.266572288711956	7.046730928805445e-4	0.9997997501473126	-4.5265054394973605
KRT75	2.747542444735271	0.5088343969266589	7.7386263199294785	9.318211884431918e-4	0.9997997501473126	-4.372732083954646
FOS	1.2487183202456662	8.520336227779234	6.7141951985340915	0.0016869730346722558	0.9997997501473126	-4.117017237052624
CPXM1	2.0015719244057864	4.987617724799337	6.694073049317641	0.0017080544378960966	0.9997997501473126	-4.288046884893982
SLC17A9	1.5201465225466886	5.004437484591597	6.478113931134837	0.0019555404059160447	0.9997997501473126	-4.276208954425784
PADI1	2.7373855327187395	6.407727074703297	6.211587830160112	0.0023232533178497244	0.9997997501473126	-4.181534957769381
KRTAP5-5	4.035346352439468	-1.4882805582194383	6.100528944018548	0.0025007148836654375	0.9997997501473126	-4.554389998375557
CHRNA3	3.0505231144858267	1.0972025142147497	6.007342155460395	0.002662304961375504	0.9997997501473126	-4.518000002315863
ZNF117	-1.7375552965349386	5.3871031553664945	-5.901832403049859	0.002860654992926222	0.9997997501473126	-4.278504972564723
NCALD	1.0937682612178408	5.745369217345232	5.772280263436581	0.0031290139085589862	0.9997997501473126	-4.201497373031371
COMP	2.512776968450236	2.26390622834235	5.768276524003063	0.0031377773519906476	0.9997997501473126	-4.464414933576168
SCYGR8	5.060551175917183	-0.6562167506212492	5.680364213489543	0.0033378274217567764	0.9997997501473126	-4.544551480090912
CRCT1	0.9875449616148981	6.212416798355709	5.512451147556572	0.0037641093688997357	0.9997997501473126	-4.1852318008460605
TMPRSS11E	-2.736360888013697	2.3041765639447043	-5.453598784472848	0.003928744326931616	0.9997997501473126	-4.490631526216478
NNMT	-1.910048004515235	4.580807428456084	-5.349046781616617	0.004242983786902013	0.9997997501473126	-4.365587714646887
GPX3	-1.5308940603585193	4.246886123416577	-5.278060086598832	0.004473526816837244	0.9997997501473126	-4.372784359717908
MELTF	1.255300526075379	6.262538704814755	5.108866752440479	0.005086144460287925	0.9997997501473126	-4.178276018310275
GJB2	-1.5568961951541969	6.955166794501319	-5.068475235734489	0.005246888117073902	0.9997997501473126	-4.184584727607259
ADCY8	1.547828864556319	3.8248894689980184	4.9924509104194925	0.005566175951948588	0.9997997501473126	-4.415382500100379
DEFB1	-0.9383475818205028	6.129941435210134	-4.986235837286138	0.005593287580854165	0.9997997501473126	-4.2044422067399125
IRX6	-1.0526768511935207	5.14950952050449	-4.960351938532573	0.005707904422081847	0.9997997501473126	-4.30112221649683
RGS11	1.2755795957524427	4.652743658124006	4.952180700709774	0.005744666962154194	0.9997997501473126	-4.336690092504582
PLA2G2A	-1.817047931577161	1.929328398982221	-4.903478318972456	0.005969720862765844	0.9997997501473126	-4.492737016663454
HRH1	-1.2872477898224737	4.107064786947388	-4.891680014822337	0.006025810195431613	0.9997997501473126	-4.400160633915345
PTGDS	0.8990017529758624	6.516094654669011	4.839152768860169	0.006283263637344053	0.9997997501473126	-4.170569010062996
GDA	2.597475589579668	0.06996791476641145	4.837243116601963	0.006292867327931421	0.9997997501473126	-4.545767937770017
MAP1LC3A	0.8062081238253958	6.605792263198387	4.811027532801927	0.0064264870601401505	0.9997997501473126	-4.167819042932112
ADCYAP1	3.1477618010849078	-0.07621297749331146	4.796156025225973	0.006503785699348626	0.9997997501473126	-4.547796822230985
MGST1	-3.539678642791145	4.41786167475531	-4.772219187236773	0.006630537831784461	0.9997997501473126	-4.415179706488945
KRT74	6.249462598037731	2.6530345648878675	4.734858444134951	0.0068342904948535685	0.9997997501473126	-4.452384491155639
FKBP10	1.0866317828978393	5.619285953237622	4.711134987162192	0.0069675332804980325	0.9997997501473126	-4.241365050931521
ZBTB16	-0.9404271807705338	6.074052386051661	-4.703980321352333	0.007008321378606412	0.9997997501473126	-4.21817956754134
SELENBP1	0.9013681543163621	6.681762478423817	4.638017050930552	0.007398039972985744	0.9997997501473126	-4.171984668253394
ELN	1.4486101504421438	7.802833596310279	4.633666126470425	0.007424638016043783	0.9997997501473126	-4.167469626535601
CCER2	1.4950881690048659	4.937385420079487	4.631845551072257	0.007435801202831336	0.9997997501473126	-4.314416466196933
ACAA2	-1.8218977469711364	4.04421133763315	-4.584426038721776	0.007733699111139626	0.9997997501473126	-4.415672640687858
SLC13A2	1.4309445411615676	3.2603504896321787	4.552064432321181	0.007945137691481155	0.9997997501473126	-4.459703137329747
AQP5	1.021705604095544	5.09922241635404	4.532017394197569	0.008079555160451895	0.9997997501473126	-4.299672365330592
TNC	-1.1758206914326217	4.944044289073629	-4.508933531349905	0.00823768663717722	0.9997997501473126	-4.335413644602984
EGFL7	0.7712267473724937	8.030401960753812	4.5023031444908534	0.008283782658470979	0.9997997501473126	-4.172924410457778
DNAH17	-2.404602332128177	3.780952255037203	-4.4864653500969744	0.008395132736529427	0.9997997501473126	-4.449556774164985
MMP23B	1.339367857952797	4.671645987710206	4.479495736742105	0.008444694728014516	0.9997997501473126	-4.349045850477365
C1R	-0.7889279906359447	7.04564743961919	-4.478980241601921	0.008448374232928654	0.9997997501473126	-4.180415155961637
WDR72	-1.4342275979790822	2.6954893483371403	-4.4653871529061115	0.00854608748783475	0.9997997501473126	-4.4669542870342465
MC5R	-4.3159929180823875	-1.5166119976908723	-4.456759794174936	0.008608798967229728	0.9997997501473126	-4.561395000777983
VTCN1	1.4902833272887341	2.841741194139809	4.432748297602451	0.008786224603618532	0.9997997501473126	-4.480870627969033
